	Si+	C_7H_7+	C_6H_10NO+	C_6H_10N_3+
	27.9727	91.0573	112.0785	124.0776
437.4528	13.0091	1086.65	16504.4	8490.9	
440.7296	15.0179	1180.91	16504.5	8255.57	
444.0064	9.00742	1148.96	16491.7	8449.38	
447.2832	13.0075	1190.45	16794.1	8391.08	
450.5600	19.0223	1188.03	16742	8452.06	
453.8368	16.0127	1157.92	16562.4	8369.44	
457.1136	12.0132	1171.08	16475	8320.38	
460.3904	10.0092	1208.26	16398.6	8264.6	
463.6672	4.00195	1175.22	16616.6	8217.03	
466.9440	16.017	1170.23	16222.6	8223.22	
470.2208	9.00699	1171.62	16586.7	8193.18	
473.4976	12.0103	1135.16	16649.7	8347.45	
476.7744	13.0152	1123.42	16462.3	8442.42	
480.0512	11.0071	1119.02	16283.7	8076.13	
483.3280	18.0165	1129.11	16254.6	8496.17	
486.6048	14.0103	1177.06	16750.6	8245.08	
489.8816	9.00577	1111.63	16686	8479.09	
493.1584	10.0098	1143.79	16473.6	8507.4	
496.4352	11.0084	1162.22	16465.2	8474.03	
499.7120	18.0242	1170.53	16675.1	8224.51	
502.9888	18.022	1113.36	16563.1	8444.17	
506.2656	14.0077	1143	16701.2	8376.06	
509.5424	15.0132	1225.48	16655.7	8418.58	
512.8192	11.0097	1120.12	16534.3	8459.16	
516.0960	18.0209	1123.76	16353.2	8413.83	
519.3728	13.0139	1164.16	16572.3	8234.34	
522.6496	13.0123	1195.92	16574.2	8246.48	
525.9264	13.0099	1080.69	16764.8	8532.9	
529.2032	11.0071	1139.72	16103.5	8247.4	
532.4800	13.0092	1208.26	16639.5	8350.26	
535.7568	19.0207	1110.93	16541.4	8552.54	
539.0336	15.016	1110	16562.6	8350.78	
542.3104	19.0261	1151.24	16345	8448.35	
545.5872	17.014	1131.45	16332.7	8392.42	
548.8640	14.0173	1140	16306.3	8559.23	
552.1408	25.0283	1106.22	16785.8	8400.73	
555.4176	16.0127	1138.49	16434.5	8031.27	
558.6944	14.012	1162.25	16733.6	8216.45	
561.9712	16.0215	1128.39	16400.3	8450.66	
565.2480	13.0131	1144.79	16363.5	8488.86	
568.5248	11.0114	1157.44	16527.3	8201.58	
