time	total	28	69	91
0.0000	5.47813e+006	7.00007	1884.66	1.10048e+006
3.0000	4.96881e+006	5.00005	804.751	889439
6.0000	5.10754e+006	4.00003	707.597	858156
9.0000	4.55787e+006	3.00001	582.4	727331
12.0000	4.27178e+006	3.00001	510.327	668329
15.0000	4.41123e+006	3.00002	526.348	685131
18.0000	4.23571e+006	2.00001	508.305	647870
21.0000	4.15604e+006	3.00002	511.322	638569
24.0000	4.15664e+006	2.00001	520.331	636300
27.0000	4.10455e+006	2.00001	507.319	622791
30.0000	3.89128e+006	5.00004	440.253	590138
33.0000	4.3569e+006	3.00002	517.33	661472
36.0000	4.39098e+006	2.00001	538.342	668502
39.0000	4.5086e+006	4.00005	595.411	685127
42.0000	4.07218e+006	5.00004	524.336	609243
45.0000	4.21051e+006	1	510.302	631958
48.0000	4.23833e+006	1	530.347	635692
51.0000	4.17934e+006	1	483.295	627024
54.0000	4.19066e+006	2.00002	477.283	629502
57.0000	3.99202e+006	1.00001	503.322	596786
60.0000	4.38154e+006	2.00001	536.355	661155
63.0000	4.14107e+006	3.00003	510.329	620003
66.0000	4.11358e+006	3.00002	518.327	616982
69.0000	4.07885e+006	2.00001	468.278	611317
72.0000	4.14782e+006	3.00002	487.3	621161
75.0000	4.21445e+006	3.00002	524.323	633344
78.0000	4.16487e+006	6.00004	497.299	622155
81.0000	4.42955e+006	0	545.359	665135
84.0000	4.21382e+006	4.00003	458.25	628361
87.0000	4.05284e+006	2.00001	419.233	602740
90.0000	4.05617e+006	0	487.296	604932
93.0000	3.98201e+006	1.00001	461.27	591955
96.0000	3.96089e+006	0	490.273	590888
99.0000	4.00234e+006	2.00002	474.273	596160
102.0000	4.0138e+006	5.00004	524.333	600677
105.0000	3.9556e+006	4.00002	490.285	592482
108.0000	3.64756e+006	1.00001	465.27	542040
111.0000	3.59308e+006	1	527.33	534797
114.0000	3.77731e+006	3.00001	1015.09	568260
117.0000	3.91135e+006	4.00001	3951.46	578630
120.0000	4.26636e+006	9.0001	13244	597403
123.0000	4.7365e+006	22.0007	35594.5	582886
126.0000	5.73824e+006	49.0025	81747.8	558432
129.0000	7.34242e+006	74.0057	160402	505879
132.0000	9.8122e+006	172.029	287022	442997
135.0000	1.1077e+007	194.037	383695	320772
138.0000	1.21187e+007	224.051	465221	239397
141.0000	1.24544e+007	204.042	512393	183807
144.0000	1.27552e+007	234.058	534528	161891
147.0000	1.26346e+007	238.056	540145	144142
150.0000	1.32166e+007	259.067	577278	145012
153.0000	1.30598e+007	222.052	562460	143436
156.0000	1.31445e+007	234.053	572777	140511
159.0000	1.30729e+007	245.06	571735	137047
162.0000	1.33343e+007	248.066	580882	142261
165.0000	1.38478e+007	260.068	607745	148872
168.0000	1.38479e+007	258.066	606233	147807
171.0000	1.3752e+007	238.057	600705	146444
174.0000	1.41047e+007	281.076	621988	148693
177.0000	1.42483e+007	294.084	627360	149333
180.0000	1.52521e+007	263.073	668530	162337
183.0000	1.54704e+007	301.09	631191	161170
186.0000	1.2167e+007	478.21	378029	119805
189.0000	8.96988e+006	2209.29	210624	80652.
192.0000	6.64368e+006	9995.03	128025	57755.
195.0000	4.45906e+006	28293.8	78408.8	43490.
198.0000	2.04292e+006	41420	35336.4	20050.
201.0000	1.21279e+006	49065.5	20022	11056.
204.0000	728202	42233.8	10266.7	5732.29
207.0000	491162	37114.8	6060.9	3071.17
210.0000	360963	32321.5	3413.26	1817.67
213.0000	281254	28751.4	1944.3	1042.64
216.0000	249624	27927.7	1271.72	667.73 
219.0000	205931	24304.3	675.357	403.294
222.0000	194902	24078.6	441.383	236.126
225.0000	169467	21823.2	277.728	147.058
228.0000	167624	21520.3	129.31	110.035
231.0000	150523	19762.9	124.267	62.0139
234.0000	159735	21317.1	98.2078	63.0182
237.0000	148513	19894.3	61.1162	53.0121
240.0000	142972	19282.5	55.0913	42.0085
243.0000	141563	19149.6	52.0858	48.0098
246.0000	131972	18045	47.0699	21.004 
249.0000	125367	17362.2	35.0447	27.0045
